lon,lat,subbasin,n_years_days,mhw_days_sen_per_decade,mhw_days_mk_p,mhw_days_mk_tau,mhw_days_sig_p05,n_years_intensity,intensity_sen_per_decade,intensity_mk_p,intensity_mk_tau,intensity_sig_p05
90.375,14.125,Central BoB,31,20.833333333333336,0.0005691432736507629,0.43655913978494626,True,26,-0.018624999999999985,0.6915533638570888,-0.05846153846153846,False
90.375,17.625,Northern BoB,31,23.684210526315788,0.00014389137115178308,0.4817204301075269,True,26,-0.01922360248447207,0.5968073797467659,-0.07692307692307693,False
90.375,19.625,Northern BoB,31,17.5,0.004474051464407491,0.36129032258064514,True,27,0.00941176470588236,0.8185845721803675,0.03418803418803419,False
90.375,20.875,Northern BoB,31,20.357142857142854,0.00022036034898276213,0.46881720430107526,True,27,-0.016666666666666496,0.6168456628672252,-0.07122507122507123,False
90.375,21.625,Northern BoB,31,16.0,0.0007957328614613957,0.4258064516129032,True,28,-0.021774725274725324,0.2601140477282804,-0.15343915343915343,False
90.625,6.125,Southern BoB,31,17.61904761904762,9.63204939807838e-07,0.6064516129032258,True,20,-0.056230158730158686,0.18344722817247305,-0.22105263157894736,False
90.625,16.375,Northern BoB,31,19.0,0.0002539106391270529,0.4645161290322581,True,29,0.03408045977011492,0.195559652706897,0.1724137931034483,False
90.625,20.625,Northern BoB,31,17.333333333333336,0.00030885264537783286,0.45806451612903226,True,29,0.002489999999999953,0.9551233832161916,0.009852216748768473,False
90.625,20.875,Northern BoB,31,19.375,0.00040215761714845755,0.44946236559139785,True,28,-0.0050000000000002265,0.9213108861184411,-0.015873015873015872,False
90.625,21.625,Northern BoB,31,16.428571428571427,0.0009618982252932451,0.41935483870967744,True,28,-0.03775336700336696,0.27720983506908103,-0.14814814814814814,False
90.875,5.375,Southern BoB,31,15.333333333333334,7.880984768782184e-06,0.5612903225806452,True,23,0.019605263157894737,0.5973541948267043,0.08300395256916997,False
90.875,17.875,Northern BoB,31,21.428571428571427,0.0014520292331898776,0.4021505376344086,True,24,-0.008541666666668224,0.8621556082271453,-0.028985507246376812,False
91.125,9.125,Southern BoB,31,15.769230769230768,0.0002626960955538493,0.46236559139784944,True,26,0.013733333333333332,0.5665903119394651,0.08307692307692308,False
91.125,19.875,Northern BoB,31,20.0,0.0006807820446375068,0.43010752688172044,True,25,0.044317632850241484,0.09727654970369648,0.24,False
91.125,21.125,Northern BoB,31,18.666666666666668,0.0005494079618499903,0.43870967741935485,True,30,0.011538461538461635,0.5924901808547871,0.07126436781609195,False
91.125,21.625,Northern BoB,31,17.77777777777778,0.0017227048681598411,0.3978494623655914,True,30,-0.03148148148148147,0.31774734769908775,-0.1310344827586207,False
91.375,8.125,Southern BoB,31,20.0,7.327988697136689e-05,0.5010752688172043,True,25,-0.039833333333333325,0.1289960116674873,-0.22,False
91.625,17.625,Northern BoB,31,24.375,0.00014512365400110028,0.47956989247311826,True,24,-0.001577380952380977,0.9406815986652011,-0.014492753623188406,False
91.625,19.125,Northern BoB,31,20.869565217391305,0.000618487916973276,0.4344086021505376,True,27,-0.007451923076923131,0.8024613596208701,-0.037037037037037035,False
